week,region,complaint_count,precipitation_mm,Anxiety/Worried,Complaint,Anger/Rage,Sad/Disappointed,Suspicion/Mistrust,Expectation,Irritation,Embarrassment/Distress
2021-01-26/2021-02-01,세종특별자치시,0,1.8857142857142857,,,,,,,,
2021-01-26/2021-02-01,울산광역시,0,3.3285714285714283,,,,,,,,
2021-01-26/2021-02-01,인천광역시,2,0.44761904761904764,0.44755201041698456,0.07528427839279175,0.15964385643601414,0.38147277384996414,0.2735697284340859,0.0,0.0,0.0
2021-01-26/2021-02-01,전라남도,1,3.7923076923076926,0.2512627840042114,0.0,0.0,0.0,0.0,0.9437605440616608,0.0,0.0
2021-01-26/2021-02-01,전라북도,2,2.4271428571428575,0.17748700082302096,0.0,0.0,0.1169350743293762,0.0,0.0,0.0,0.08841797411441805
2021-01-26/2021-02-01,제주특별자치도,0,5.964285714285714,,,,,,,,
2021-01-26/2021-02-01,충청남도,2,1.573809523809524,0.8410757094621658,0.2046623110771179,0.44321494400501255,0.4139730922877789,0.08604221940040588,0.0,0.26154736876487733,0.13061531707644458
2021-01-26/2021-02-01,충청북도,0,1.7257142857142858,,,,,,,,
2021-02-02/2021-02-08,강원도,2,0.2346938775510204,0.46107468008995056,0.0,0.0,0.22968408912420274,0.0,0.0,0.0,0.0
2021-02-02/2021-02-08,경기도,5,0.7457142857142857,0.4375414988026023,0.5824260499328375,0.4625782866030932,0.4195185478776693,0.18889831975102422,0.06478071548044682,0.36849584877491,0.17612833082675933
2021-02-02/2021-02-08,경상남도,0,0.04489795918367347,,,,,,,,
2021-02-02/2021-02-08,경상북도,0,0.45,,,,,,,,
2021-02-02/2021-02-08,광주광역시,0,0.15714285714285717,,,,,,,,
2021-02-02/2021-02-08,대구광역시,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02/2021-02-08,대전광역시,1,0.08571428571428572,0.5300705820322037,0.2546941518783569,0.1167437359690666,0.0,0.4875579074025154,0.0,0.08497450947761537,0.0
2021-02-02/2021-02-08,부산광역시,1,0.0,0.8329481780529022,0.1702754437923431,0.0,0.1987225264310837,0.4127012550830841,0.1910859823226929,0.0,0.3435703486204147
2021-02-02/2021-02-08,서울특별시,0,0.5,,,,,,,,
2021-02-02/2021-02-08,세종특별자치시,0,0.4,,,,,,,,
2021-02-02/2021-02-08,울산광역시,0,0.0,,,,,,,,
2021-02-02/2021-02-08,인천광역시,0,0.6476190476190476,,,,,,,,
2021-02-02/2021-02-08,전라남도,1,0.11868131868131869,0.4428172022104263,0.706175971031189,0.675114718079567,0.1991416364908218,0.9031221568584442,0.0,0.3887653321027755,0.0
2021-02-02/2021-02-08,전라북도,2,0.3771428571428571,0.27127834782004356,0.35754189640283585,0.0,0.19370115101337437,0.19715659618377684,0.2460487604141235,0.0850989207625389,0.0
2021-02-02/2021-02-08,제주특별자치도,1,0.18571428571428572,0.6822796285152435,0.7447575837373734,0.9259737133979797,0.5153064399957656,0.5165415227413177,0.0,0.4011495232582092,0.09329689145088196
2021-02-02/2021-02-08,충청남도,1,0.38571428571428573,0.0,0.2179079413414001,0.3118752479553223,0.1811041474342346,0.0,0.213814640045166,0.0,0.0
2021-02-02/2021-02-08,충청북도,4,0.24285714285714285,0.43795372471213345,0.7396836787462235,0.5878535069525241,0.510321905463934,0.7228898733854294,0.0,0.2565047185868025,0.017507898062467574
2021-02-09/2021-02-15,강원도,1,0.04897959183673469,0.8987430930137634,0.2888135850429535,0.0,0.7639545232057572,0.5186937808990479,0.0,0.0,0.2698364943265915
2021-02-09/2021-02-15,경기도,13,0.12285714285714286,0.5828816430767377,0.17765916645526886,0.17225872894128164,0.3168884354829788,0.2818954494098823,0.2808971388141314,0.11969980875651043,0.038976312428712856
2021-02-09/2021-02-15,경상남도,2,1.176530612244898,0.0,0.46435703337192535,0.3415106058120728,0.16409485638141635,0.1915730431675911,0.0,0.3950435221195221,0.1302778035402298
2021-02-09/2021-02-15,경상북도,0,0.42959183673469387,,,,,,,,
2021-02-09/2021-02-15,광주광역시,4,0.08571428571428572,0.23321891278028486,0.1524396042029063,0.0983314832051595,0.15364235540231072,0.0805306593577067,0.23409883230924608,0.12409027218818668,0.03386743863423667
2021-02-09/2021-02-15,대구광역시,0,0.7857142857142857,,,,,,,,
2021-02-09/2021-02-15,대전광역시,4,0.21428571428571427,0.21324132035175958,0.3278350512186686,0.08051020801067353,0.3703488166133562,0.12061652491490049,0.20978971173365912,0.15701417674620946,0.0872299631436666
2021-02-09/2021-02-15,부산광역시,0,2.557142857142857,,,,,,,,
2021-02-09/2021-02-15,서울특별시,2,0.19999999999999998,0.3916260004043579,0.08144291639328,0.17317363768815994,0.2873995006084442,0.0,0.21515557542443275,0.05043797492980955,0.13049376755952835
2021-02-09/2021-02-15,세종특별자치시,0,0.15714285714285717,,,,,,,,
2021-02-09/2021-02-15,울산광역시,0,1.3571428571428572,,,,,,,,
2021-02-09/2021-02-15,인천광역시,2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.9382055550813675,0.0,0.0
2021-02-09/2021-02-15,전라남도,1,0.3274725274725275,0.0,0.0,0.0,0.0,0.0,0.7988559901714325,0.0,0.0
2021-02-09/2021-02-15,전라북도,1,0.19857142857142857,0.9019557535648346,0.4600915908813477,0.08065807819366456,0.6084071069955826,0.3811346411705017,0.140509021282196,0.1120188981294632,0.1492568671703338
2021-02-09/2021-02-15,제주특별자치도,0,1.1392857142857142,,,,,,,,
2021-02-09/2021-02-15,충청남도,1,0.13571428571428573,0.7992269396781921,0.0,0.0,0.2502536252140999,0.5866292506456375,0.317558017373085,0.0,0.0
2021-02-09/2021-02-15,충청북도,1,0.1742857142857143,0.630095586180687,0.8133321166038514,0.6352997481822967,0.498206502199173,0.664607948064804,0.0,0.5282663226127624,0.194056510925293
2021-02-16/2021-02-22,강원도,5,0.018367346938775512,0.4848607122898102,0.2588703590631485,0.12438779622316361,0.2954208451509476,0.290040822327137,0.1486438477039337,0.10188368558883668,0.12438180148601533
2021-02-16/2021-02-22,경기도,12,0.15999999999999998,0.3476340703311421,0.17465133085137324,0.0813389634802228,0.11307836487179711,0.1595627845043228,0.3286533152418477,0.0881305468933923,0.009111579259236653
2021-02-16/2021-02-22,경상남도,1,0.027551020408163266,0.9068960845470428,0.0,0.0,0.4159233376383781,0.2134090662002563,0.1225739926099777,0.0,0.0
2021-02-16/2021-02-22,경상북도,2,0.17142857142857143,0.30949990004301076,0.4104537978768349,0.41386224776506425,0.1552240431308746,0.2000552549958229,0.4553808867931366,0.29257482290267944,0.05563383996486665
2021-02-16/2021-02-22,광주광역시,1,0.37142857142857144,0.316531965136528,0.0,0.0,0.0,0.0,0.4053309366106987,0.0,0.0
2021-02-16/2021-02-22,대구광역시,3,0.0,0.36882135868072513,0.6209820245703062,0.2096815238396327,0.4960438013076782,0.44754695743322365,0.11267261505126953,0.17193764348824817,0.11713110804557801
2021-02-16/2021-02-22,대전광역시,4,0.5571428571428572,0.457317054271698,0.0,0.0,0.03680244237184525,0.05887546017766,0.07271136716008188,0.0,0.0464945286512375
2021-02-16/2021-02-22,부산광역시,1,0.0,0.8560913503170013,0.4669303297996521,0.6879764139652254,0.325208330154419,0.6836663275957108,0.0,0.3025100082159042,0.04445939660072327
2021-02-16/2021-02-22,서울특별시,2,0.21428571428571427,0.1820370852947235,0.0,0.0,0.0666540741920471,0.0,0.4443955808877945,0.0,0.0
